DMS_id,n_variants,median_D,p95_D,frac_highD
RASK_HUMAN_Weng_2022_abundance,3066,0.5580851627401304,0.8316513713313066,0.10013046314416177
RASK_HUMAN_Weng_2022_binding-DARPin_K55,3084,0.5560706488679684,0.8227187303888497,0.10019455252918288
RBP1_HUMAN_Tsuboyama_2023_2KWH,975,0.6136806565218328,1.0041658152111979,0.10051282051282051
RCD1_ARATH_Tsuboyama_2023_5OAO,988,0.5967064980989143,0.9337086901397419,0.10020242914979757
RCRO_LAMBD_Tsuboyama_2023_1ORC,1195,0.584722711892159,0.980429900090044,0.100418410041841
RD23A_HUMAN_Tsuboyama_2023_1IFY,798,0.5419899213981925,0.8783530164489977,0.10025062656641603
RDRP_I33A0_Li_2023,12003,0.7421080505391997,1.0620614895992768,0.10005831875364492
REV_HV1H2_Fernandes_2016,2147,0.6189089577620968,0.9932587010037133,0.10013972985561248
RFAH_ECOLI_Tsuboyama_2023_2LCL,969,0.5795835950331708,0.9462718651645966,0.1001031991744066
RL20_AQUAE_Tsuboyama_2023_1GYZ,1121,0.5863474040563323,0.9166987643917627,0.1008028545941124
RL40A_YEAST_Mavor_2016,1253,0.6142486634203029,0.8782929685892413,0.1005586592178771
RL40A_YEAST_Roscoe_2013,1195,0.6231345579710101,0.8698128738834994,0.100418410041841
RL40A_YEAST_Roscoe_2014,1380,0.6132129798009425,0.8671343173963015,0.1
RNC_ECOLI_Weeks_2023,4277,0.52988814003479,0.8740382320770661,0.10007014262333411
RPC1_BP434_Tsuboyama_2023_1R69,1124,0.48180190193931216,0.9027725997511911,0.10053380782918149
RPC1_LAMBD_Li_2019_high-expression,351,0.5387623319766235,0.8045885908621613,0.10256410256410256
RPC1_LAMBD_Li_2019_low-expression,351,0.5363229046720756,0.8049686420615825,0.10256410256410256
RS15_GEOSE_Tsuboyama_2023_1A32,1195,0.5124796482788401,0.8556005478453872,0.100418410041841
S22A1_HUMAN_Yee_2023_abundance,9803,0.5815104332781431,0.8832805248353186,0.10007140671223096
S22A1_HUMAN_Yee_2023_activity,10094,0.5799162662168168,0.8782876437034864,0.10005944125222904
SAV1_MOUSE_Tsuboyama_2023_2YSB,679,0.5966864164895973,0.9441119925949132,0.10014727540500737
SBI_STAAM_Tsuboyama_2023_2JVG,1025,0.599490804408811,0.9688152259934257,0.10048780487804879
SC6A4_HUMAN_Young_2021,11576,0.5210910633266097,0.8196481635002193,0.10003455425017277
SCIN_STAAR_Tsuboyama_2023_2QFF,1212,0.6485175044200922,1.0535785631763246,0.10066006600660066
SCN5A_HUMAN_Glazer_2019,224,0.6607536724945278,0.9273354928517802,0.10267857142857142
SDA_BACSU_Tsuboyama_2023_1PV0,834,0.5206099067438891,0.832908755429311,0.10071942446043165
SERC_HUMAN_Xie_2023,1914,0.5375383988611324,0.8772932787040845,0.10031347962382445
SHOC2_HUMAN_Kwon_2022,10972,0.5360933810354207,0.8375727030300932,0.1000729128691214
SOX30_HUMAN_Tsuboyama_2023_7JJK,1010,0.5427606593313801,0.963600958437917,0.1
